oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
us_ca;C2438071;us_ca;870176;Infoblox Inc.
us_ca;C2320168;us_de;870228;Inphi Corporation
us_ca;C2670883;us_de;870440;InvenSense, Inc.
us_ca;C1968920;us_de;871041;Masimo Corporation
us_mi;638463;us_in;776761;Meritor, Inc.
us_tx;0007421606;us_de;864886;Neiman Marcus Group LTD Inc.
us_ca;C2037478;us_de;872094;NuVasive, Inc.
us_ny;1928597;us_de;874104;Systemax Inc.
us_ma;042742817;us_de;874670;Vicor Corporation
nl;20082726;nl;1129986;Arcadis
fr;431997824;fr;47427;Credit Agricole
sg;193500026Z;sg;47955;United Overseas Bank
us_fl;P24295;us_fl;48921;Royal Caribbean Cruises
hk;0002672;hk;49160;Cathay Pacific Airways
gb;04630817;gb;56283;British Land
us_mo;F00015000;us_mo;50627;Kansas City Southern
ch;59444;ch;2315854;Georg Fischer AG
ca_qc;1145570769;ca_qc;2615831;Agnico-Eagle Mines Ltd
hk;F0013249;hk;48049;Tencent Holdings
